Designator,Mid X,Mid Y,Rotation,Layer
C1001,95.631,-40.005,180.0,top
C1003,94.996,-33.274,0.0,top
C101,28.067,-3.429,0.0,top
C102,36.9195,-6.731,0.0,top
C201,51.308,-20.828,270.0,top
C202,46.355,-21.082,180.0,top
C203,55.88,-6.604,0.0,top
C204,50.673,-15.4345,90.0,top
C205,84.582,-25.273,270.0,top
C206,46.482,-14.732,0.0,top
C207,49.022,-21.209,270.0,top
C208,58.674,-12.065,0.0,top
C209,51.308,-6.858,180.0,top
C210,62.611,-18.923,0.0,top
C211,85.217,-14.224,0.0,top
C212,79.121,-17.272,180.0,top
C213,50.292,-23.241,180.0,top
C214,88.9,-22.098,270.0,top
C215,73.533,-18.542,180.0,top
C216,92.964,-19.431,0.0,top
C301,10.033,-40.005,180.0,top
C303,9.398,-33.274,0.0,top
C401,21.971,-40.005,180.0,top
C403,21.336,-33.274,0.0,top
C501,34.163,-40.005,180.0,top
C503,33.528,-33.274,0.0,top
C601,47.371,-40.005,180.0,top
C603,46.736,-33.274,0.0,top
C701,60.279,-39.949,180.0,top
C703,59.644,-33.218,0.0,top
C801,71.963,-39.949,180.0,top
C803,71.328,-33.218,0.0,top
C901,84.039,-39.983,180.0,top
C903,83.404,-33.252,0.0,top
D1001,94.488,-63.5,180.0,top
D102,18.804,-11.476,90.0,top
D103,35.9665,-3.429,180.0,top
D301,8.89,-63.5,180.0,top
D401,20.828,-63.5,180.0,top
D501,33.02,-63.5,180.0,top
D601,46.228,-63.5,180.0,top
D701,59.136,-63.444,180.0,top
D801,70.82,-63.444,180.0,top
D901,82.896,-63.478,180.0,top
J1001,92.611,-53.396,90.0,top
J101,19.304,-4.205,180.0,top
J301,7.013,-53.396,90.0,top
J401,18.951,-53.396,90.0,top
J501,31.143,-53.396,90.0,top
J601,44.351,-53.396,90.0,top
J701,57.259,-53.34,90.0,top
J801,68.943,-53.34,90.0,top
J901,81.019,-53.374,90.0,top
R1001,94.234,-43.246,180.0,top
R1002,91.0215,-63.5,180.0,top
R101,22.987,-10.668,0.0,top
R102,15.875,-15.748,0.0,top
R103,32.0935,-3.429,180.0,top
R201,55.753,-3.302,0.0,top
R202,51.435,-4.318,180.0,top
R203,51.435,-3.302,0.0,top
R204,38.5185,-11.684,0.0,top
R205,38.481,-13.462,0.0,top
R206,55.372,-12.827,270.0,top
R207,50.292,-20.828,90.0,top
R209,79.121,-16.256,0.0,top
R210,73.66,-22.733,0.0,top
R212,55.753,-8.382,180.0,top
R213,70.485,-11.811,180.0,top
R214,70.5745,-14.224,180.0,top
R215,82.042,-12.954,180.0,top
R216,62.992,-14.986,180.0,top
R217,62.357,-4.572,0.0,top
R218,62.865,-7.112,0.0,top
R301,8.636,-43.246,180.0,top
R302,5.4235,-63.5,180.0,top
R401,20.574,-43.246,180.0,top
R402,17.3615,-63.5,180.0,top
R501,32.766,-43.246,180.0,top
R502,29.5535,-63.5,180.0,top
R601,45.974,-43.246,180.0,top
R602,42.7615,-63.5,180.0,top
R701,58.882,-43.19,180.0,top
R702,55.6695,-63.444,180.0,top
R801,70.566,-43.19,180.0,top
R802,67.3535,-63.444,180.0,top
R901,82.642,-43.224,180.0,top
R902,79.4295,-63.478,180.0,top
U1001,95.1175,-37.338,180.0,top
U101,30.226,-8.001,0.0,top
U201,55.753,-17.78,90.0,top
U202,84.599,-19.414,90.0,top
U301,9.5195,-37.338,180.0,top
U401,21.4575,-37.338,180.0,top
U501,33.6495,-37.338,180.0,top
U601,46.8575,-37.338,180.0,top
U701,59.7655,-37.282,180.0,top
U801,71.4495,-37.282,180.0,top
U901,83.5255,-37.316,180.0,top
Y201,46.443,-17.864,90.0,top
