Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C1201, C1202, C1301, C1302, C1401, C1402, C1501, C1502",0603,10,10u,
"C103, C1102",0603,2,100n,
"C1101, C1103, C1104, C1105",0402,4,100n,
"C1106, C1107",0805,2,18p,C1797
"C1108, C1109",0402,2,0.1u,
D101,Texas_USON-6_1x1.45mm_P0.5mm_SMD,1,PRTR5V0U2X,C2937001
D102,0603,1,LED GREEN,C2297
"D1201, D1301, D1401, D1501",0603,4,LED WHITE,C2290
"H101, H102, H103, H104",MountingHole_3.2mm_M3_DIN965_Pad,4,octoprobe_MountingHole,
J101,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C165948
"J1201, J1301, J1401, J1501",USB_A_SHOUHAN_Vertical,4,USB_A,C456015
"R101, R102",0402,2,5.1K,
"R103, R104, R1101, R1102, R1103, R1105",0402,6,100k,
R105,0402,1,470R,
R1104,0402,1,12k,
"R1106, R1107, R1108, R1109, R1110, R1201, R1301, R1401, R1501",0402,9,10k,
"R1202, R1302, R1402, R1502",0402,4,1k,
U101,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U1101,Texas_RHH0036C_VQFN-36-1EP_6x6mm_P0.5mm_EP4.4x4.4mm_ThermalVias,1,USB2514B_Bi,C16251
"U1201, U1301, U1401, U1501",SOT-23-5,4,MT9700,C89855
Y1101,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,C70590
